Order, Turns, P1, P2, Damage
2    , 11   , 2 , 3 , 230
1    , 14   , 1 , 3 , 80
2    , 10   , 3 , 0 , 260
1    , 15   , 3 , 2 , 270
2    , 11   , 0 , 3 , 110
2    , 9    , 1 , 3 , 170
1    , 14   , 2 , 3 , 260
2    , 15   , 2 , 3 , 150
1    , 11   , 3 , 2 , 200
1    , 16   , 2 , 3 , 260
1    , 13   , 3 , 1 , 290
1    , 15   , 3 , 2 , 310
1    , 16   , 1 , 3 , 250
1    , 10   , 1 , 3 , 150
2    , 16   , 3 , 1 , 460
2    , 13   , 1 , 3 , 130
2    , 12   , 3 , 0 , 320
2    , 10   , 3 , 1 , 200
2    , 11   , 0 , 3 , 90
2    , 13   , 1 , 3 , 210
1    , 12   , 1 , 3 , 100
2    , 11   , 0 , 3 , 90
2    , 10   , 3 , 0 , 260
2    , 14   , 3 , 2 , 370
1    , 16   , 2 , 3 , 240
2    , 10   , 3 , 1 , 270
2    , 15   , 2 , 3 , 260
1    , 13   , 3 , 2 , 270
2    , 11   , 0 , 3 , 180
2    , 10   , 3 , 0 , 280
2    , 14   , 3 , 1 , 370
1    , 13   , 3 , 2 , 250
1    , 10   , 0 , 3 , 40
1    , 11   , 0 , 3 , 140
1    , 12   , 0 , 3 , 0
1    , 14   , 2 , 3 , 190
1    , 14   , 2 , 3 , 260
2    , 15   , 2 , 3 , 190
2    , 12   , 3 , 1 , 300
2    , 13   , 2 , 3 , 240
1    , 13   , 3 , 1 , 350
2    , 15   , 2 , 3 , 270
1    , 18   , 1 , 3 , 270
2    , 13   , 0 , 3 , 150
1    , 15   , 3 , 2 , 280
1    , 12   , 2 , 3 , 270
1    , 13   , 3 , 2 , 200
1    , 8    , 0 , 3 , 110
2    , 13   , 1 , 3 , 240
1    , 15   , 3 , 2 , 280
1    , 17   , 3 , 1 , 260
2    , 11   , 1 , 3 , 230
1    , 14   , 1 , 3 , 250
2    , 11   , 0 , 3 , 70
2    , 12   , 3 , 1 , 390
1    , 15   , 3 , 2 , 320
1    , 20   , 2 , 3 , 170
1    , 24   , 2 , 3 , 210
2    , 13   , 1 , 3 , 180
1    , 13   , 3 , 1 , 240
2    , 11   , 0 , 3 , 70
1    , 14   , 2 , 3 , 220
1    , 12   , 0 , 3 , 110
1    , 12   , 0 , 3 , 200
2    , 12   , 0 , 3 , 180
1    , 18   , 2 , 3 , 180
1    , 10   , 0 , 3 , 80
2    , 13   , 0 , 3 , 150
2    , 10   , 3 , 0 , 280
2    , 13   , 2 , 3 , 160
2    , 16   , 3 , 2 , 360
2    , 12   , 3 , 1 , 250
1    , 12   , 0 , 3 , 190
1    , 10   , 0 , 3 , 60
2    , 13   , 2 , 3 , 210
1    , 10   , 0 , 3 , 90
1    , 14   , 0 , 3 , 80
2    , 12   , 3 , 2 , 270
2    , 12   , 3 , 2 , 210
1    , 18   , 2 , 3 , 280
1    , 16   , 1 , 3 , 260
2    , 12   , 3 , 0 , 300
1    , 10   , 0 , 3 , 80
1    , 14   , 2 , 3 , 160
2    , 13   , 0 , 3 , 130
1    , 13   , 3 , 2 , 320
2    , 16   , 3 , 2 , 450
2    , 10   , 3 , 2 , 260
2    , 12   , 3 , 0 , 350
1    , 16   , 2 , 3 , 200
2    , 15   , 1 , 3 , 210
2    , 13   , 3 , 1 , 360
2    , 16   , 3 , 2 , 340
1    , 16   , 2 , 3 , 220
2    , 13   , 1 , 3 , 180
2    , 15   , 2 , 3 , 290
2    , 12   , 3 , 1 , 400
2    , 8    , 3 , 1 , 280
2    , 10   , 6 , 1 , 180
2    , 14   , 3 , 1 , 410
2    , 16   , 3 , 1 , 400
2    , 11   , 1 , 3 , 70
2    , 15   , 2 , 3 , 220
1    , 18   , 2 , 3 , 250
1    , 13   , 3 , 1 , 320
1    , 15   , 3 , 2 , 260
2    , 15   , 1 , 3 , 140
2    , 14   , 3 , 2 , 300
1    , 12   , 2 , 3 , 160
1    , 14   , 1 , 3 , 220
1    , 18   , 2 , 3 , 360
2    , 13   , 2 , 3 , 180
